rank,address,maker_volume_usd,taker_volume_usd,trades,pure_maker
6003,0xe25c28438f4f51bf12efed21efd45f33d8cfae63,26749.72,628.03,546,False
6004,0x3217faa4cf6e793ae9e4cbe27bd28b0e11726895,26743.54,36160.03,8,False
6005,0xbf0c02d002cf48a811fd0a07ccb8db747826d56f,26739.07,13225.23,27,False
6006,0x7b5887dcffa32af1ec155a8835c48b4e948aeb2b,26737.56,51.41,101,False
6007,0x374aeb659bc8ce70ceea79e11a0cc81f25adc231,26732.9,11206.19,1247,False
6008,0x0cc2047c805c4a7f6eb71e6bcf3b4ecf2c88d26d,26724.7,26.7,5,False
6009,0xc2a2f56c0f8783ae4b8a51ee254020070b1c6419,26721.1,13991.12,43,False
6010,0xc52d48f05a1838fb9d58cc5bca389e29e06efa2a,26719.62,10974.57,16,False
6011,0x6c08fca80f28de6c448d658fc56441e85339726c,26700.7,6983.31,38,False
6012,0x89802a1ff6eb9f1a18177628af862419c6271a49,26699.79,13135.18,24,False
6013,0x4e56f1ddaa8f5328036c449b89e731ec748cdee1,26695.9,25415.56,39,False
6014,0xaa6567f866ac212262e353cb4243b56dae6a0a80,26688.57,13214.78,40,False
6015,0x0c8b586337119bfae73235007fe7a3bbc1d60630,26679.76,14104.3,37,False
6016,0x4a0afee15dee455d2d74641470dc0d6cfb813976,26676.4,14325.24,99,False
6017,0xe16b8858e7b95ecdb85b6b855412745a07e82507,26670.4,11985.04,32,False
6018,0x5077817b43adfde586c462b885e8f10e40fb4e7c,26667.43,46957.86,147,False
6019,0x4a00bf0cb0b189e9572aa307500042c22f808fba,26661.73,10082.77,37,False
6020,0xa2702a1e0a48cbcf0853732c1061a85ce49d4466,26649.76,32742.49,467,False
6021,0x8e74eb7e743b1f928279d6e68c7a05d76e7654e7,26646.18,23127.55,5,False
6022,0x47ccf447fa33f0ad1095a137f0ab5533aefe509b,26641.81,9565.06,83,False
6023,0xc06eadb04f7425b7582ee2b182d1fbbf001d412a,26638.72,17166.66,52,False
6024,0x4d0121458bb2f96c6440c0f3835d675ad3ce1645,26624.88,9621.86,127,False
6025,0x8f5fd7ed1cbd8bcc4b0cd70003f3c84fcd4a1cf7,26613.14,14230.39,55,False
6026,0xf798e71e1db0e77cea0073dd8d48f80b98edc718,26608.47,10553.07,42,False
6027,0x667890b09a71672256c536bf6dd1e53b02ad52ca,26599.79,9742.33,37,False
6028,0x705d9e6f6b5108886289c2148a0ebb422ce78e2f,26583.39,15727.18,42,False
